Stock,Date,Open,High,Low,Close,Adj Close,Volume
Apple,13/10/1988,1.375,1.419643,1.375,1.392857,0.090498,41115200
Apple,14/10/1988,1.410714,1.410714,1.361607,1.383929,0.089918,39312000
Apple,17/10/1988,1.375,1.392857,1.366071,1.375,0.089338,23422000
Apple,18/10/1988,1.392857,1.410714,1.366071,1.40625,0.091369,35649600
Apple,19/10/1988,1.419643,1.455357,1.410714,1.428571,0.092819,69330800
Apple,20/10/1988,1.428571,1.486607,1.428571,1.482143,0.0963,43366400
Apple,21/10/1988,1.473214,1.491071,1.455357,1.464286,0.095139,30900800
Apple,24/10/1988,1.473214,1.473214,1.415179,1.428571,0.092819,33790400
Apple,25/10/1988,1.4375,1.4375,1.419643,1.424107,0.092529,21296800
Apple,26/10/1988,1.428571,1.428571,1.375,1.401786,0.091078,47180000
Apple,27/10/1988,1.383929,1.401786,1.366071,1.392857,0.090498,35921200
Apple,28/10/1988,1.392857,1.410714,1.375,1.375,0.089338,21120400
Apple,31/10/1988,1.383929,1.383929,1.339286,1.379464,0.089628,60726400
Apple,01/11/1988,1.375,1.383929,1.348214,1.357143,0.088178,35924000
Apple,02/11/1988,1.366071,1.366071,1.3125,1.330357,0.086438,52130400
Apple,03/11/1988,1.330357,1.339286,1.3125,1.325893,0.086147,60614400
Apple,04/11/1988,1.3125,1.357143,1.3125,1.348214,0.087598,38449600
Apple,07/11/1988,1.330357,1.348214,1.321429,1.339286,0.087018,42520800
Apple,08/11/1988,1.339286,1.383929,1.334821,1.375,0.089338,38631600
Apple,09/11/1988,1.366071,1.40625,1.357143,1.401786,0.091078,50430800
Apple,10/11/1988,1.410714,1.419643,1.392857,1.410714,0.091659,24978800
Apple,11/11/1988,1.392857,1.415179,1.375,1.375,0.089338,27171200
Apple,14/11/1988,1.383929,1.392857,1.366071,1.388393,0.090208,21308000
Apple,15/11/1988,1.392857,1.401786,1.383929,1.392857,0.090498,20000400
Apple,16/11/1988,1.392857,1.401786,1.348214,1.357143,0.088178,36960000
Apple,17/11/1988,1.357143,1.375,1.357143,1.366071,0.088758,19885600
Apple,18/11/1988,1.375,1.375,1.357143,1.357143,0.088178,14397600
Apple,21/11/1988,1.339286,1.348214,1.294643,1.308036,0.091748,55476400
Apple,22/11/1988,1.303571,1.316964,1.285714,1.290179,0.090495,37046800
Apple,23/11/1988,1.276786,1.321429,1.267857,1.316964,0.092374,46998000
Apple,25/11/1988,1.294643,1.3125,1.285714,1.303571,0.091434,12073600
Apple,28/11/1988,1.303571,1.3125,1.285714,1.303571,0.091434,34840400
Apple,29/11/1988,1.303571,1.3125,1.285714,1.3125,0.092061,23167200
Apple,30/11/1988,1.3125,1.357143,1.3125,1.34375,0.094253,41960800
Apple,01/12/1988,1.348214,1.392857,1.339286,1.383929,0.097071,53040400
Apple,02/12/1988,1.366071,1.424107,1.357143,1.401786,0.098323,83428800
Apple,05/12/1988,1.410714,1.428571,1.383929,1.410714,0.09895,38603600
Apple,06/12/1988,1.401786,1.419643,1.392857,1.410714,0.09895,26233200
Apple,07/12/1988,1.392857,1.410714,1.383929,1.40625,0.098636,24533600
Apple,08/12/1988,1.401786,1.401786,1.383929,1.397321,0.09801,14865200
Apple,09/12/1988,1.401786,1.410714,1.383929,1.397321,0.09801,11239200
Apple,12/12/1988,1.401786,1.410714,1.375,1.375,0.096445,29470000
Apple,13/12/1988,1.375,1.383929,1.366071,1.383929,0.097071,30637600
Apple,14/12/1988,1.375,1.428571,1.375,1.419643,0.099576,48325200
Apple,15/12/1988,1.428571,1.446429,1.401786,1.410714,0.09895,28142800
Apple,16/12/1988,1.410714,1.446429,1.401786,1.433036,0.100515,45872400
Apple,19/12/1988,1.4375,1.464286,1.428571,1.455357,0.102081,58581600
Apple,20/12/1988,1.464286,1.482143,1.450893,1.464286,0.102707,68546800
Apple,21/12/1988,1.464286,1.5,1.464286,1.491071,0.104586,60491200
Apple,22/12/1988,1.491071,1.5,1.455357,1.464286,0.102707,26507600
Apple,23/12/1988,1.464286,1.477679,1.464286,1.46875,0.10302,10239600
Apple,27/12/1988,1.464286,1.482143,1.446429,1.446429,0.101455,14996800
Apple,28/12/1988,1.446429,1.455357,1.419643,1.4375,0.100828,12885600
Apple,29/12/1988,1.4375,1.455357,1.4375,1.446429,0.101455,29453200
Apple,30/12/1988,1.446429,1.473214,1.4375,1.4375,0.100828,20423200
Apple,03/01/1989,1.4375,1.446429,1.428571,1.441964,0.101141,25004000
Apple,04/01/1989,1.455357,1.504464,1.446429,1.5,0.105212,59987200
Apple,05/01/1989,1.5,1.544643,1.473214,1.508929,0.105838,76832000
Apple,06/01/1989,1.508929,1.553571,1.508929,1.522321,0.106778,49666400
Apple,09/01/1989,1.535714,1.540179,1.508929,1.535714,0.107717,19826800
Apple,10/01/1989,1.517857,1.53125,1.482143,1.522321,0.106778,25830000
Apple,11/01/1989,1.508929,1.517857,1.473214,1.504464,0.105525,39032000
Apple,12/01/1989,1.508929,1.535714,1.5,1.526786,0.107091,37578800
Apple,13/01/1989,1.526786,1.553571,1.513393,1.544643,0.108344,48476400
Apple,16/01/1989,1.544643,1.571429,1.535714,1.5625,0.109596,42148400
Apple,17/01/1989,1.544643,1.553571,1.428571,1.441964,0.101141,189151200
Apple,18/01/1989,1.455357,1.46875,1.410714,1.419643,0.099576,121982000
Apple,19/01/1989,1.446429,1.464286,1.428571,1.446429,0.101455,63996800
Apple,20/01/1989,1.446429,1.482143,1.4375,1.464286,0.102707,43433600
Apple,23/01/1989,1.455357,1.473214,1.455357,1.464286,0.102707,45133200
Apple,24/01/1989,1.464286,1.491071,1.455357,1.486607,0.104273,55823600
Apple,25/01/1989,1.491071,1.5,1.464286,1.482143,0.10396,27734000
Apple,26/01/1989,1.455357,1.504464,1.450893,1.491071,0.104586,71316000
Apple,27/01/1989,1.366071,1.401786,1.294643,1.34375,0.094253,531792800
Apple,30/01/1989,1.34375,1.357143,1.330357,1.334821,0.093626,146624800
Apple,31/01/1989,1.330357,1.348214,1.3125,1.348214,0.094566,115088400
Apple,01/02/1989,1.348214,1.415179,1.334821,1.401786,0.098323,121889600
Apple,02/02/1989,1.410714,1.4375,1.401786,1.419643,0.099576,118372800
Apple,03/02/1989,1.428571,1.4375,1.392857,1.401786,0.098323,44727200
Apple,06/02/1989,1.410714,1.410714,1.366071,1.375,0.096445,29184400
Apple,07/02/1989,1.366071,1.401786,1.366071,1.392857,0.097697,41288800
Apple,08/02/1989,1.392857,1.410714,1.357143,1.366071,0.095818,39253200
Apple,09/02/1989,1.366071,1.392857,1.357143,1.366071,0.095818,40202400
Apple,10/02/1989,1.366071,1.366071,1.321429,1.330357,0.093313,87085600
Apple,13/02/1989,1.3125,1.330357,1.3125,1.321429,0.092687,58797200
Apple,14/02/1989,1.316964,1.321429,1.258929,1.276786,0.089556,222894000
Apple,15/02/1989,1.276786,1.294643,1.267857,1.294643,0.090808,82656000
Apple,16/02/1989,1.294643,1.330357,1.285714,1.299107,0.091121,63924000
Apple,17/02/1989,1.294643,1.321429,1.294643,1.3125,0.099738,29212400
Apple,21/02/1989,1.316964,1.348214,1.3125,1.339286,0.101774,47639200
Apple,22/02/1989,1.330357,1.339286,1.303571,1.3125,0.099738,59581200
Apple,23/02/1989,1.303571,1.321429,1.294643,1.3125,0.099738,23842000
